...1,CellSubset,cell_name,functional_markers,lineage_markers,notes
90,CM- HLADR+ CD8alo CD45RAlo CD4hi,CM- HLADR+,CD8alo CD45RAlo CD4hi,CD3- CD19- CD56- CD33- CD123- HLADR+,NA
91,CM- HLADR+ CD8alo CD45RAlo CD4lo,CM- HLADR+,CD8alo CD45RAlo CD4lo,CD3- CD19- CD56- CD33- CD123- HLADR+,NA
92,CM-_unassigned CD8ahi CD4lo CD127hi,CM-,CD8ahi CD4lo CD127hi,CD3- CD19- CD56- CD33-,NA
93,CM-_unassigned CD8ahi CD4lo CD127lo,CM-,CD8ahi CD4lo CD127lo,CD3- CD19- CD56- CD33-,NA
94,CM-_unassigned CD8alo CD4hi CD127hi,CM-,CD8alo CD4hi CD127hi,CD3- CD19- CD56- CD33-,NA
95,CM-_unassigned CD8alo CD4hi CD127lo,CM-,CD8alo CD4hi CD127lo,CD3- CD19- CD56- CD33-,NA
96,CM-_unassigned CD8alo CD4lo CD127hi,CM-,CD8alo CD4lo CD127hi,CD3- CD19- CD56- CD33-,NA
97,CM-_unassigned CD8alo CD4lo CD127lo,CM-,CD8alo CD4lo CD127lo,CD3- CD19- CD56- CD33-,NA
98,Dendritic Cell (Conventional) HLA_DRhi CXCR3lo CD45RAhi,Dendritic Cell Conventional,HLADRhi CXCR3lo CD45RAhi,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
99,Dendritic Cell (Conventional) HLA_DRhi CXCR3lo CD45RAlo,Dendritic Cell Conventional,HLADRhi CXCR3lo CD45RAlo,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
100,Dendritic Cell (Conventional) HLA_DRlo CXCR3hi,Dendritic Cell Conventional,HLADRlo CXCR3hi,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
101,Dendritic Cell (Conventional) HLA_DRlo CXCR3lo CD45RAhi,Dendritic Cell Conventional,HLADRlo CXCR3lo CD45RAhi,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
102,Dendritic Cell (Conventional) HLA_DRlo CXCR3lo CD45RAlo,Dendritic Cell Conventional,HLADRlo CXCR3lo CD45RAlo,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
103,Monocyte (CD14+ CD16+) T_bethi,Monocyte CD14+ CD16+,T_bethi,CD33+ CD3- CD19- CD14+ CD16+,NA
104,Monocyte (CD14+ CD16+) T_betlo CD45RAhi CD56hi,Monocyte CD14+ CD16+,T_betlo CD45RAhi CD56hi,CD33+ CD3- CD19- CD14+ CD16+,NA
105,Monocyte (CD14+ CD16+) T_betlo CD45RAhi CD56lo,Monocyte CD14+ CD16+,T_betlo CD45RAhi CD56lo,CD33+ CD3- CD19- CD14+ CD16+,NA
